               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.052116,            0.014554,                   0,             0.99626,              0.9951,             0.99499,             0.58975,            0.027596,            0.007661,                   0,           0.0033325,           0.0033325,            0.070007
                   1,            0.026365,           0.0076802,                   0,             0.99847,             0.99809,             0.99726,              0.6899,            0.021277,           0.0066617,                   0,           0.0066657,           0.0066657,            0.040007
                   2,            0.021894,           0.0068265,                   0,             0.99903,             0.99907,             0.99697,             0.71016,            0.020013,           0.0064409,                   0,           0.0099983,           0.0099983,            0.010007
                   3,            0.020178,           0.0064462,                   0,             0.99932,             0.99943,             0.99738,             0.71446,            0.019775,           0.0063738,                   0,            0.009998,            0.009998,            0.009998
                   4,            0.019362,            0.006234,                   0,             0.99954,              0.9995,             0.99763,             0.71592,            0.019708,           0.0063505,                   0,            0.009998,            0.009998,            0.009998
                   5,            0.018996,           0.0061515,                   0,             0.99955,             0.99957,             0.99782,             0.71841,            0.019636,           0.0063353,                   0,           0.0099965,           0.0099965,           0.0099965
                   6,            0.018729,           0.0060723,                   0,             0.99959,             0.99966,             0.99803,              0.7197,            0.019605,           0.0063292,                   0,           0.0099945,           0.0099945,           0.0099945
                   7,            0.018524,           0.0060118,                   0,              0.9996,             0.99965,             0.99814,              0.7201,            0.019616,           0.0063313,                   0,           0.0099921,           0.0099921,           0.0099921
                   8,             0.01833,           0.0059659,                   0,             0.99962,             0.99962,             0.99828,             0.71922,            0.019635,           0.0063318,                   0,           0.0099893,           0.0099893,           0.0099893
                   9,             0.01822,           0.0059398,                   0,             0.99956,             0.99967,             0.99842,             0.71957,             0.01961,           0.0063305,                   0,            0.009986,            0.009986,            0.009986
                  10,              0.0181,           0.0059345,                   0,             0.99951,             0.99972,             0.99845,              0.7198,            0.019587,           0.0063238,                   0,           0.0099822,           0.0099822,           0.0099822
                  11,            0.018026,           0.0058988,                   0,             0.99952,              0.9997,             0.99836,             0.71954,            0.019577,           0.0063151,                   0,           0.0099781,           0.0099781,           0.0099781
                  12,            0.017909,           0.0058692,                   0,             0.99953,             0.99973,             0.99841,             0.71993,            0.019538,           0.0062991,                   0,           0.0099735,           0.0099735,           0.0099735
                  13,             0.01786,           0.0058529,                   0,             0.99965,             0.99958,              0.9983,             0.72071,            0.019458,           0.0062833,                   0,           0.0099685,           0.0099685,           0.0099685
                  14,             0.01775,           0.0058505,                   0,             0.99964,             0.99962,             0.99808,             0.72135,             0.01939,           0.0062709,                   0,            0.009963,            0.009963,            0.009963
                  15,            0.017689,           0.0058201,                   0,             0.99967,              0.9996,             0.99818,              0.7223,            0.019317,           0.0062603,                   0,           0.0099571,           0.0099571,           0.0099571
                  16,            0.017622,           0.0058074,                   0,             0.99955,             0.99966,             0.99795,             0.72259,            0.019278,           0.0062533,                   0,           0.0099508,           0.0099508,           0.0099508
                  17,            0.017596,           0.0057933,                   0,              0.9996,             0.99967,             0.99767,             0.72293,            0.019251,           0.0062502,                   0,            0.009944,            0.009944,            0.009944
                  18,             0.01749,           0.0057663,                   0,             0.99961,             0.99967,             0.99766,             0.72292,            0.019231,           0.0062472,                   0,           0.0099368,           0.0099368,           0.0099368
                  19,            0.017487,           0.0057629,                   0,             0.99954,             0.99976,             0.99774,             0.72316,            0.019208,           0.0062439,                   0,           0.0099291,           0.0099291,           0.0099291
                  20,             0.01744,           0.0057555,                   0,             0.99951,              0.9998,             0.99785,             0.72502,            0.019153,           0.0062373,                   0,           0.0099211,           0.0099211,           0.0099211
                  21,             0.01743,           0.0057449,                   0,             0.99948,             0.99981,             0.99802,             0.72562,            0.019126,           0.0062355,                   0,           0.0099126,           0.0099126,           0.0099126
                  22,            0.017375,           0.0057441,                   0,              0.9995,             0.99974,             0.99827,             0.72682,             0.01908,           0.0062307,                   0,           0.0099037,           0.0099037,           0.0099037
                  23,            0.017318,            0.005721,                   0,             0.99958,             0.99964,             0.99831,             0.72752,            0.019052,           0.0062263,                   0,           0.0098943,           0.0098943,           0.0098943
                  24,            0.017309,           0.0057227,                   0,             0.99965,              0.9996,             0.99833,             0.72777,             0.01904,           0.0062265,                   0,           0.0098845,           0.0098845,           0.0098845
                  25,            0.017276,           0.0057152,                   0,             0.99955,             0.99969,             0.99827,             0.72834,            0.019019,           0.0062237,                   0,           0.0098743,           0.0098743,           0.0098743
                  26,             0.01724,            0.005705,                   0,             0.99957,              0.9997,             0.99818,             0.72894,             0.01899,           0.0062193,                   0,           0.0098637,           0.0098637,           0.0098637
                  27,            0.017221,              0.0057,                   0,              0.9995,             0.99977,             0.99822,             0.72827,            0.019006,           0.0062204,                   0,           0.0098527,           0.0098527,           0.0098527
                  28,            0.017178,           0.0056865,                   0,             0.99954,             0.99976,             0.99825,             0.72898,            0.018972,           0.0062144,                   0,           0.0098412,           0.0098412,           0.0098412
