               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.015215,           0.0062469,                   0,             0.99955,             0.99973,             0.99915,             0.74431,            0.018095,           0.0080114,                   0,           0.0097191,           0.0097191,           0.0097191
                  38,            0.015211,           0.0062493,                   0,             0.99958,             0.99972,             0.99914,              0.7447,            0.018089,           0.0080087,                   0,           0.0097035,           0.0097035,           0.0097035
                  39,            0.015201,           0.0062305,                   0,             0.99956,             0.99976,             0.99914,             0.74446,            0.018084,           0.0080066,                   0,           0.0096875,           0.0096875,           0.0096875
                  40,            0.015168,           0.0062492,                   0,             0.99958,             0.99974,             0.99912,             0.74444,            0.018091,           0.0080048,                   0,            0.009671,            0.009671,            0.009671
                  41,            0.015171,           0.0062369,                   0,             0.99958,              0.9997,             0.99911,             0.74428,            0.018099,           0.0080071,                   0,           0.0096542,           0.0096542,           0.0096542
                  42,            0.015206,           0.0062477,                   0,             0.99955,             0.99975,              0.9991,             0.74464,            0.018091,            0.008004,                   0,           0.0096369,           0.0096369,           0.0096369
                  43,            0.015157,           0.0062309,                   0,             0.99963,             0.99972,             0.99915,              0.7449,            0.018085,            0.008002,                   0,           0.0096193,           0.0096193,           0.0096193
                  44,            0.015127,           0.0062108,                   0,             0.99962,             0.99974,             0.99918,               0.745,            0.018081,           0.0080024,                   0,           0.0096013,           0.0096013,           0.0096013
                  45,             0.01517,           0.0062457,                   0,             0.99957,             0.99977,             0.99917,             0.74557,            0.018066,           0.0079985,                   0,           0.0095828,           0.0095828,           0.0095828
                  46,            0.015142,             0.00622,                   0,             0.99958,             0.99972,             0.99911,             0.74546,            0.018061,           0.0079986,                   0,            0.009564,            0.009564,            0.009564
                  47,            0.015105,           0.0062238,                   0,             0.99961,             0.99972,              0.9991,             0.74555,            0.018063,           0.0079991,                   0,           0.0095448,           0.0095448,           0.0095448
                  48,            0.015124,           0.0062184,                   0,             0.99957,             0.99977,             0.99908,             0.74533,            0.018068,           0.0080027,                   0,           0.0095252,           0.0095252,           0.0095252
                  49,            0.015102,           0.0062075,                   0,             0.99954,             0.99975,             0.99908,             0.74559,            0.018061,           0.0080004,                   0,           0.0095052,           0.0095052,           0.0095052
                  50,            0.015118,           0.0062345,                   0,             0.99953,             0.99975,             0.99906,             0.74592,            0.018064,           0.0080059,                   0,           0.0094849,           0.0094849,           0.0094849
                  51,            0.015117,           0.0062133,                   0,             0.99956,             0.99975,             0.99911,              0.7466,            0.018049,           0.0080005,                   0,           0.0094641,           0.0094641,           0.0094641
                  52,            0.015101,           0.0062115,                   0,             0.99958,             0.99972,             0.99916,             0.74626,             0.01805,           0.0080004,                   0,            0.009443,            0.009443,            0.009443
                  53,            0.015095,           0.0062097,                   0,             0.99954,             0.99973,             0.99917,             0.74589,             0.01804,           0.0080001,                   0,           0.0094215,           0.0094215,           0.0094215
                  54,            0.015101,           0.0062152,                   0,              0.9996,             0.99973,             0.99916,             0.74592,            0.018034,           0.0079974,                   0,           0.0093996,           0.0093996,           0.0093996
                  55,            0.015056,           0.0062066,                   0,              0.9995,             0.99976,             0.99909,             0.74577,            0.018038,           0.0079979,                   0,           0.0093773,           0.0093773,           0.0093773
                  56,            0.015084,              0.0062,                   0,             0.99958,             0.99973,             0.99905,             0.74534,            0.018052,           0.0079987,                   0,           0.0093547,           0.0093547,           0.0093547
                  57,            0.015048,           0.0061963,                   0,             0.99958,             0.99974,             0.99906,              0.7452,            0.018048,           0.0079997,                   0,           0.0093317,           0.0093317,           0.0093317
                  58,            0.015037,            0.006202,                   0,             0.99957,             0.99973,              0.9991,             0.74627,            0.018027,           0.0079924,                   0,           0.0093083,           0.0093083,           0.0093083
                  59,            0.015046,           0.0061974,                   0,             0.99952,             0.99973,             0.99909,             0.74675,            0.018016,           0.0079914,                   0,           0.0092846,           0.0092846,           0.0092846
                  60,            0.015041,            0.006199,                   0,             0.99953,             0.99973,             0.99904,             0.74671,            0.018017,           0.0079907,                   0,           0.0092605,           0.0092605,           0.0092605
                  61,            0.015037,           0.0061975,                   0,             0.99957,             0.99974,             0.99912,             0.74667,            0.018029,           0.0079905,                   0,           0.0092361,           0.0092361,           0.0092361
                  62,             0.01505,           0.0062057,                   0,             0.99951,             0.99972,             0.99908,             0.74622,            0.018042,           0.0079985,                   0,           0.0092113,           0.0092113,           0.0092113
                  63,            0.014997,           0.0061908,                   0,             0.99952,             0.99971,             0.99908,             0.74597,            0.018052,           0.0080053,                   0,           0.0091861,           0.0091861,           0.0091861
                  64,            0.014993,           0.0062018,                   0,             0.99956,             0.99971,             0.99907,             0.74582,            0.018043,           0.0080022,                   0,           0.0091606,           0.0091606,           0.0091606
                  65,            0.014992,           0.0061724,                   0,             0.99958,              0.9997,              0.9991,             0.74627,            0.018029,           0.0079972,                   0,           0.0091348,           0.0091348,           0.0091348
                  66,            0.014999,           0.0061823,                   0,             0.99951,             0.99976,             0.99911,             0.74581,            0.018039,           0.0079993,                   0,           0.0091086,           0.0091086,           0.0091086
                  67,            0.014981,           0.0061625,                   0,              0.9995,             0.99974,             0.99912,             0.74546,            0.018045,           0.0080007,                   0,           0.0090821,           0.0090821,           0.0090821
                  68,            0.014964,           0.0061877,                   0,             0.99954,             0.99972,             0.99912,             0.74599,            0.018029,           0.0079946,                   0,           0.0090552,           0.0090552,           0.0090552
                  69,            0.014974,           0.0061761,                   0,             0.99957,             0.99972,             0.99912,              0.7462,            0.018024,           0.0079963,                   0,            0.009028,            0.009028,            0.009028
                  70,            0.014967,             0.00617,                   0,             0.99955,             0.99969,             0.99912,             0.74652,            0.018015,           0.0079944,                   0,           0.0090004,           0.0090004,           0.0090004
                  71,             0.01497,           0.0061781,                   0,              0.9995,             0.99975,             0.99913,             0.74663,            0.018025,           0.0079945,                   0,           0.0089726,           0.0089726,           0.0089726
                  72,            0.014957,           0.0061668,                   0,             0.99954,             0.99971,             0.99912,             0.74664,            0.018032,           0.0079954,                   0,           0.0089444,           0.0089444,           0.0089444
                  73,            0.014944,           0.0061531,                   0,             0.99957,             0.99973,              0.9991,             0.74675,            0.018025,           0.0079906,                   0,           0.0089159,           0.0089159,           0.0089159
                  74,            0.014956,            0.006169,                   0,             0.99956,             0.99974,             0.99912,             0.74656,            0.018011,           0.0079902,                   0,            0.008887,            0.008887,            0.008887
                  75,            0.014921,           0.0061503,                   0,              0.9995,             0.99978,             0.99908,             0.74614,            0.018018,           0.0079937,                   0,           0.0088579,           0.0088579,           0.0088579
                  76,            0.014917,           0.0061494,                   0,             0.99951,             0.99975,             0.99909,             0.74626,            0.018015,           0.0079957,                   0,           0.0088284,           0.0088284,           0.0088284
                  77,            0.014936,           0.0061606,                   0,              0.9995,              0.9997,              0.9991,             0.74654,            0.018018,           0.0079969,                   0,           0.0087987,           0.0087987,           0.0087987
                  78,            0.014932,           0.0061551,                   0,             0.99943,             0.99978,             0.99908,             0.74665,            0.018021,           0.0079973,                   0,           0.0087686,           0.0087686,           0.0087686
                  79,            0.014908,           0.0061506,                   0,             0.99947,             0.99973,             0.99902,             0.74596,            0.018031,           0.0080023,                   0,           0.0087382,           0.0087382,           0.0087382
                  80,            0.014909,           0.0061537,                   0,             0.99948,             0.99973,             0.99904,              0.7464,            0.018024,           0.0080043,                   0,           0.0087075,           0.0087075,           0.0087075
                  81,            0.014899,           0.0061489,                   0,             0.99943,             0.99969,             0.99898,             0.74579,            0.018026,           0.0080052,                   0,           0.0086765,           0.0086765,           0.0086765
                  82,            0.014882,           0.0061454,                   0,             0.99944,             0.99973,             0.99898,             0.74594,            0.018018,           0.0079996,                   0,           0.0086452,           0.0086452,           0.0086452
                  83,            0.014877,           0.0061405,                   0,             0.99945,              0.9997,             0.99898,             0.74615,            0.018015,           0.0079975,                   0,           0.0086137,           0.0086137,           0.0086137
                  84,            0.014883,           0.0061368,                   0,             0.99942,              0.9997,             0.99899,             0.74635,            0.018017,           0.0079939,                   0,           0.0085818,           0.0085818,           0.0085818
                  85,            0.014877,           0.0061373,                   0,             0.99944,              0.9997,             0.99897,             0.74647,            0.018016,           0.0079935,                   0,           0.0085497,           0.0085497,           0.0085497
                  86,             0.01488,           0.0061493,                   0,              0.9994,             0.99971,             0.99903,             0.74626,            0.018017,           0.0079913,                   0,           0.0085173,           0.0085173,           0.0085173
                  87,            0.014868,           0.0061363,                   0,             0.99942,             0.99973,             0.99905,             0.74659,            0.018001,           0.0079883,                   0,           0.0084846,           0.0084846,           0.0084846
